actual_delivery_quantity,batch,delivery_document,delivery_document_item,delivery_quantity_unit,item_billing_block_reason,last_change_date,plant,reference_sd_document,reference_sd_document_item,storage_location
1,ABCD,80738110,10,PC,,,WB05,740601,10,5031.0
1,,80738111,10,PC,,,WB05,740604,10,5031.0
1,ABCD,80738111,20,PC,,,WB05,740604,20,5031.0
1,ABCD,80738111,30,PC,,,WB05,740604,30,5031.0
1,ABCD,80738111,40,PC,,,WB05,740604,40,5031.0
48,,80737721,10,PC,,,1920,740506,10,
10,,80737721,20,PC,,,1920,740506,20,
8,,80737721,30,PC,,,1920,740506,30,
4,,80737721,40,PC,,,1920,740506,40,
11,,80737721,50,PC,,,1920,740506,50,
24,,80737722,10,PC,,,1920,740507,10,
15,,80737722,20,PC,,,1920,740507,20,
34,,80737722,30,PC,,,1920,740507,30,
17,,80737722,40,PC,,,1920,740507,40,
1,,80737723,10,PC,,,1920,740508,10,
1,,80737723,20,PC,,,1920,740508,20,
1,,80737723,30,PC,,,1920,740508,30,
1,,80737723,40,PC,,,1920,740508,40,
1,ABCD,80737921,10,PC,,,KA05,740545,10,5078.0
1,ABCD,80737922,10,PC,,,MH05,740546,10,5085.0
1,ABCD,80738040,10,PC,,,WB05,740509,10,5101.0
1,ABCD,80738041,10,PC,,,WB05,740510,10,5101.0
1,ABCD,80738042,10,PC,,,WB05,740511,10,5101.0
1,ABCD,80738043,10,PC,,,WB05,740512,10,5101.0
1,ABCD,80738044,10,PC,,,WB05,740513,10,5101.0
1,ABCD,80738045,10,PC,,,WB05,740514,10,5101.0
1,ABCD,80738046,10,PC,,,WB05,740515,10,5101.0
1,,80738047,10,PC,,,WB05,740516,10,5101.0
2,ABCD,80738047,20,PC,,,WB05,740516,20,5101.0
1,ABCD,80738048,10,PC,,,WB05,740517,10,5101.0
1,ABCD,80738049,10,PC,,,WB05,740518,10,5101.0
1,ABCD,80738050,10,PC,,,WB05,740519,10,5101.0
1,ABCD,80738051,10,PC,,,WB05,740520,10,5101.0
1,ABCD,80738052,10,PC,,,WB05,740521,10,5101.0
1,ABCD,80738053,10,PC,,,WB05,740522,10,5101.0
1,ABCD,80738054,10,PC,,,WB05,740523,10,5101.0
1,ABCD,80738055,10,PC,,,WB05,740524,10,5101.0
1,ABCD,80738056,10,PC,,,WB05,740525,10,5101.0
1,ABCD,80738057,10,PC,,,WB05,740526,10,5101.0
1,ABCD,80738058,10,PC,,,WB05,740527,10,5101.0
1,ABCD,80738058,20,PC,,,WB05,740527,20,5101.0
1,ABCD,80738059,10,PC,,,WB05,740528,10,5101.0
1,ABCD,80738060,10,PC,,,WB05,740529,10,5101.0
1,ABCD,80738061,10,PC,,,WB05,740530,10,5101.0
1,ABCD,80738062,10,PC,,,WB05,740531,10,5101.0
2,ABCD,80738063,10,PC,,,WB05,740534,10,5101.0
1,ABCD,80738064,10,PC,,,WB05,740536,10,5101.0
1,ABCD,80738065,10,PC,,,WB05,740538,10,5101.0
1,ABCD,80738066,10,PC,,,WB05,740540,10,5101.0
1,ABCD,80738067,10,PC,,,WB05,740547,10,5101.0
1,ABCD,80738068,10,PC,,,WB05,740548,10,5101.0
1,,80738069,10,PC,,,WB05,740549,10,5101.0
1,ABCD,80738069,20,PC,,,WB05,740549,20,5101.0
1,ABCD,80738069,30,PC,,,WB05,740549,30,5101.0
1,ABCD,80738069,40,PC,,,WB05,740549,40,5101.0
1,ABCD,80738069,50,PC,,,WB05,740549,50,5101.0
1,ABCD,80738069,60,PC,,,WB05,740549,60,5101.0
1,ABCD,80738069,70,PC,,,WB05,740549,70,5101.0
1,ABCD,80738069,80,PC,,,WB05,740549,80,5101.0
1,ABCD,80738069,90,PC,,,WB05,740549,90,5101.0
1,ABCD,80738069,100,PC,,,WB05,740549,100,5101.0
1,ABCD,80738069,110,PC,,,WB05,740549,110,5101.0
1,ABCD,80738069,120,PC,,,WB05,740549,120,5101.0
1,ABCD,80738070,10,PC,,,WB05,740550,10,5101.0
1,ABCD,80738071,10,PC,,,WB05,740551,10,5101.0
1,ABCD,80738072,10,PC,,,WB05,740552,10,5101.0
1,ABCD,80738073,10,PC,,,WB05,740553,10,5031.0
1,ABCD,80738073,20,PC,,,WB05,740553,20,5031.0
1,ABCD,80738074,10,PC,,,WB05,740554,10,5031.0
1,,80738075,10,PC,,,WB05,740555,10,5031.0
1,ABCD,80738075,20,PC,,,WB05,740555,20,5031.0
1,ABCD,80738075,30,PC,,,WB05,740555,30,5031.0
1,ABCD,80754574,10,PC,,,1301,740532,10,5095.0
1,ABCD,80754575,10,PC,,,1301,740543,10,5095.0
1,ABCD,80754576,10,PC,,,1301,740544,10,5095.0
1,,80754601,10,PC,,,1301,740533,10,5095.0
2,ABCD,80754601,20,PC,,,1301,740533,20,5095.0
1,ABCD,80754602,10,PC,,,1301,740535,10,5095.0
1,ABCD,80754603,10,PC,,,1301,740537,10,5095.0
1,ABCD,80754604,10,PC,,,1301,740539,10,5095.0
1,ABCD,80754605,10,PC,,,1301,740541,10,5095.0
1,,80754606,10,PC,,,1301,740542,10,5095.0
2,ABCD,80754606,20,PC,,,1301,740542,20,5095.0
1,ABCD,80754606,30,PC,,,1301,740542,30,5095.0
