sales_order,sales_order_type,sales_organization,distribution_channel,organization_division,sales_group,sales_office,sold_to_party,creation_date,created_by_user,last_change_date_time,total_net_amount,overall_delivery_status,overall_ord_reltd_billg_status,overall_sd_doc_reference_status,transaction_currency,pricing_date,requested_delivery_date,header_billing_block_reason,delivery_block_reason,incoterms_classification,incoterms_location1,customer_payment_terms,total_credit_check_status
740540,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:42:23.246000+00:00,253.39,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740541,OR,ABCD,11,99,,,320000082,2025-04-02 00:00:00+00:00,USER737,2025-04-07 07:40:23.746000+00:00,299.0,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740542,OR,ABCD,11,99,,,320000082,2025-04-02 00:00:00+00:00,USER737,2025-04-07 07:39:51.380000+00:00,589.95,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740543,OR,ABCD,11,99,,,320000082,2025-04-02 00:00:00+00:00,USER737,2025-04-07 05:49:54.094000+00:00,245.9,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740544,OR,ABCD,11,99,,,320000082,2025-04-02 00:00:00+00:00,USER737,2025-04-07 05:58:46.091000+00:00,287.9,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740545,OR,ABCD,11,99,,,320000088,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:42:40.187000+00:00,179.66,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740546,OR,ABCD,11,99,,,320000085,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:42:46.001000+00:00,221.19,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740547,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:42:53.303000+00:00,180.34,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740548,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:42:57.178000+00:00,151.69,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740549,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:04.029000+00:00,2033.65,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740550,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:08.109000+00:00,329.66,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740551,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:12.210000+00:00,221.19,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740552,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:15.753000+00:00,216.1,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740553,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:21.320000+00:00,561.14,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740554,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:25.419000+00:00,422.88,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740555,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:29.409000+00:00,429.66,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740556,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:35.637000+00:00,439.83,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740557,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:41.737000+00:00,439.83,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740558,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:48.866000+00:00,179.66,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740559,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:54.430000+00:00,375.42,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740560,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:43:58.686000+00:00,253.39,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740561,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:02.739000+00:00,422.03,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740562,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:06.983000+00:00,843.73,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740563,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:11.131000+00:00,481.44,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740564,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:17.332000+00:00,761.86,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740565,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:22.798000+00:00,422.03,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740566,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:28.164000+00:00,337.29,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740567,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:33.579000+00:00,191.53,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740568,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:38.878000+00:00,455.93,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740569,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:46.140000+00:00,422.03,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740570,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:49.878000+00:00,422.03,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740571,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:53.965000+00:00,253.39,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740572,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:44:57.508000+00:00,215.25,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740573,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:02.964000+00:00,842.93,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740574,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:08.381000+00:00,327.97,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740575,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:15.530000+00:00,215.25,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740576,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:21.214000+00:00,473.73,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740577,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:26.592000+00:00,464.41,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740578,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:32.050000+00:00,464.41,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740579,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:36.147000+00:00,464.41,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740580,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:39.902000+00:00,464.41,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740581,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:44.053000+00:00,205.93,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740582,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:48.080000+00:00,216.1,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740583,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:51.756000+00:00,216.1,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740584,OR,ABCD,11,99,,,320000108,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:57.414000+00:00,150.85,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740585,OR,ABCD,11,99,,,320000107,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:57.479000+00:00,177.97,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740586,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:55.740000+00:00,422.03,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740587,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:45:59.686000+00:00,464.41,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740588,OR,ABCD,11,99,,,320000108,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:57.599000+00:00,118.65,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740589,OR,ABCD,11,99,,,320000107,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:57.681000+00:00,131.31,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740590,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:46:03.631000+00:00,464.41,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740591,OR,ABCD,11,99,,,320000108,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:58.394000+00:00,303.39,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740592,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:46:07.543000+00:00,634.75,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740593,OR,ABCD,11,99,,,320000107,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:58.380000+00:00,422.04,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740594,OR,ABCD,11,99,,,320000108,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:58.518000+00:00,337.29,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740595,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:46:11.069000+00:00,215.25,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740596,OR,ABCD,11,99,,,320000108,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:58.679000+00:00,202.54,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740597,OR,ABCD,11,99,,,320000107,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:59.326000+00:00,118.64,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740598,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:46:15.296000+00:00,533.05,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740599,OR,ABCD,11,99,,,320000108,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:59.314000+00:00,202.56,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740600,OR,ABCD,11,99,,,320000107,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:59.520000+00:00,169.49,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740601,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:46:19.372000+00:00,464.41,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740602,OR,ABCD,11,99,,,320000107,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:00:59.668000+00:00,131.38,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740603,OR,ABCD,11,99,,,320000108,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:01:01.568000+00:00,133.9,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740604,OR,ABCD,11,99,,,320000083,2025-04-02 00:00:00+00:00,USER737,2025-04-02 04:46:25.151000+00:00,1091.53,C,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
740605,OR,ABCD,11,99,,,320000107,2025-04-02 00:00:00+00:00,USER737,2025-06-20 06:01:00.267000+00:00,435.57,A,,,INR,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00,,,FOR,Lake David,Z001,
