sales_order,sales_order_item,schedule_line,confirmed_delivery_date,order_quantity_unit,confd_order_qty_by_matl_avail_check
740555,10,1,2025-04-02 00:00:00+00:00,PC,1
740555,20,1,2025-04-02 00:00:00+00:00,PC,1
740555,30,1,2025-04-02 00:00:00+00:00,PC,1
740556,10,1,2025-04-02 00:00:00+00:00,PC,1
740556,20,1,2025-04-02 00:00:00+00:00,PC,1
740556,30,1,2025-04-02 00:00:00+00:00,PC,1
740556,40,1,2025-04-02 00:00:00+00:00,PC,1
740556,50,1,2025-04-02 00:00:00+00:00,PC,1
740557,10,1,2025-04-02 00:00:00+00:00,PC,1
740557,20,1,2025-04-02 00:00:00+00:00,PC,1
740557,30,1,2025-04-02 00:00:00+00:00,PC,1
740557,40,1,2025-04-02 00:00:00+00:00,PC,1
740557,50,1,2025-04-02 00:00:00+00:00,PC,1
740558,10,1,2025-04-02 00:00:00+00:00,PC,1
740559,10,1,2025-04-02 00:00:00+00:00,PC,1
740560,10,1,2025-04-02 00:00:00+00:00,PC,1
740561,10,1,2025-04-02 00:00:00+00:00,PC,1
740562,10,1,2025-04-02 00:00:00+00:00,PC,1
740562,20,1,2025-04-02 00:00:00+00:00,PC,1
740563,10,1,2025-04-02 00:00:00+00:00,PC,2
740564,10,1,2025-04-02 00:00:00+00:00,PC,1
740564,20,1,2025-04-02 00:00:00+00:00,PC,1
740564,30,1,2025-04-02 00:00:00+00:00,PC,1
740564,40,1,2025-04-02 00:00:00+00:00,PC,1
740564,50,1,2025-04-02 00:00:00+00:00,PC,1
740564,60,1,2025-04-02 00:00:00+00:00,PC,1
740565,10,1,2025-04-02 00:00:00+00:00,PC,1
740566,10,1,2025-04-02 00:00:00+00:00,PC,1
740567,10,1,2025-04-02 00:00:00+00:00,PC,1
740568,10,1,2025-04-02 00:00:00+00:00,PC,1
740569,10,1,2025-04-02 00:00:00+00:00,PC,1
740570,10,1,2025-04-02 00:00:00+00:00,PC,1
740571,10,1,2025-04-02 00:00:00+00:00,PC,1
740572,10,1,2025-04-02 00:00:00+00:00,PC,1
740573,10,1,2025-04-02 00:00:00+00:00,PC,1
740573,20,1,2025-04-02 00:00:00+00:00,PC,1
740574,10,1,2025-04-02 00:00:00+00:00,PC,1
740574,20,1,2025-04-02 00:00:00+00:00,PC,2
740575,10,1,2025-04-02 00:00:00+00:00,PC,1
740576,10,1,2025-04-02 00:00:00+00:00,PC,1
740577,10,1,2025-04-02 00:00:00+00:00,PC,1
740578,10,1,2025-04-02 00:00:00+00:00,PC,1
740579,10,1,2025-04-02 00:00:00+00:00,PC,1
740580,10,1,2025-04-02 00:00:00+00:00,PC,1
740581,10,1,2025-04-02 00:00:00+00:00,PC,1
740582,10,1,2025-04-02 00:00:00+00:00,PC,1
740583,10,1,2025-04-02 00:00:00+00:00,PC,1
740584,10,1,2025-04-02 00:00:00+00:00,PC,2
740585,10,1,2025-04-02 00:00:00+00:00,PC,1
740586,10,1,2025-04-02 00:00:00+00:00,PC,1
740587,10,1,2025-04-02 00:00:00+00:00,PC,1
740588,10,1,2025-04-02 00:00:00+00:00,PC,1
740589,10,1,2025-04-02 00:00:00+00:00,PC,1
740589,20,1,2025-04-02 00:00:00+00:00,PC,1
740589,30,1,2025-04-02 00:00:00+00:00,PC,1
740589,40,1,2025-04-02 00:00:00+00:00,PC,1
740589,50,1,2025-04-02 00:00:00+00:00,PC,1
740590,10,1,2025-04-02 00:00:00+00:00,PC,1
740591,10,1,2025-04-02 00:00:00+00:00,PC,1
740591,20,1,2025-04-02 00:00:00+00:00,PC,1
740591,30,1,2025-04-02 00:00:00+00:00,PC,1
740592,10,1,2025-04-02 00:00:00+00:00,PC,1
740593,10,1,2025-04-02 00:00:00+00:00,PC,1
740594,10,1,2025-04-02 00:00:00+00:00,PC,1
740595,10,1,2025-04-02 00:00:00+00:00,PC,1
740596,10,1,2025-04-02 00:00:00+00:00,PC,1
740597,10,1,2025-04-02 00:00:00+00:00,PC,1
740598,10,1,2025-04-02 00:00:00+00:00,PC,1
740598,20,1,2025-04-02 00:00:00+00:00,PC,1
740598,30,1,2025-04-02 00:00:00+00:00,PC,1
740598,40,1,2025-04-02 00:00:00+00:00,PC,1
740599,10,1,2025-04-02 00:00:00+00:00,PC,1
740599,20,1,2025-04-02 00:00:00+00:00,PC,1
740599,30,1,2025-04-02 00:00:00+00:00,PC,1
740600,10,1,2025-04-02 00:00:00+00:00,PC,1
740601,10,1,2025-04-02 00:00:00+00:00,PC,1
740602,10,1,2025-04-02 00:00:00+00:00,PC,1
740602,20,1,2025-04-02 00:00:00+00:00,PC,1
740602,30,1,2025-04-02 00:00:00+00:00,PC,1
740602,40,1,2025-04-02 00:00:00+00:00,PC,1
740602,50,1,2025-04-02 00:00:00+00:00,PC,1
740603,10,1,2025-04-02 00:00:00+00:00,PC,1
740604,10,1,2025-04-02 00:00:00+00:00,PC,1
740604,20,1,2025-04-02 00:00:00+00:00,PC,1
740604,30,1,2025-04-02 00:00:00+00:00,PC,1
740604,40,1,2025-04-02 00:00:00+00:00,PC,1
740605,10,1,2025-04-02 00:00:00+00:00,PC,1
740605,20,1,2025-04-02 00:00:00+00:00,PC,1
740605,30,1,2025-04-02 00:00:00+00:00,PC,1
740605,40,1,2025-04-02 00:00:00+00:00,PC,1
740605,50,1,2025-04-02 00:00:00+00:00,PC,1
