billing_document,billing_document_item,material,billing_quantity,billing_quantity_unit,net_amount,transaction_currency,reference_sd_document,reference_sd_document_item
90504207,10,S8907367001003,1,PC,250.0,INR,80738042,10
90504208,10,S8907367002512,1,PC,249.15,INR,80738043,10
90504210,10,S8907367039280,1,PC,363.56,INR,80738044,10
90504211,10,S8907367039280,1,PC,363.56,INR,80738045,10
90504212,10,S8907367039280,1,PC,363.56,INR,80738046,10
90504215,10,S8907367039280,1,PC,363.56,INR,80738048,10
90504217,10,S8907367039280,1,PC,363.56,INR,80738049,10
90504218,10,S8907367039280,1,PC,329.66,INR,80738050,10
90504219,10,S8907367008620,1,PC,253.39,INR,80738051,10
90504221,10,S8907367039280,1,PC,363.56,INR,80738052,10
90504222,10,S8907367039280,1,PC,329.66,INR,80738053,10
90504223,10,S8907367039280,1,PC,363.56,INR,80738054,10
90504225,10,S8907367008620,1,PC,253.39,INR,80738055,10
90504226,10,S8907367002512,1,PC,215.25,INR,80738056,10
90504227,10,S8907367025344,1,PC,185.59,INR,80738057,10
90504228,10,S8907367038108,1,PC,208.52,INR,80738058,10
90504228,20,S8907367008620,1,PC,240.72,INR,80738058,20
90504230,10,S8907367008620,1,PC,253.39,INR,80738059,10
90504231,10,S8907367001003,1,PC,216.1,INR,80738060,10
90504232,10,S8907367013532,1,PC,179.66,INR,80738061,10
90504234,10,S8907367004448,1,PC,215.25,INR,80738062,10
90504237,10,S8907367028192,1,PC,168.64,INR,80738064,10
90504238,10,S8907367008620,1,PC,287.29,INR,80738065,10
90504239,10,S8907367008620,1,PC,253.39,INR,80738066,10
90504241,10,S8907367013532,1,PC,180.34,INR,80738067,10
90504242,10,S8907367025344,1,PC,151.69,INR,80738068,10
90504243,20,S8907367001836,1,PC,0.0,INR,80738069,20
90504243,30,S8907367001874,1,PC,0.0,INR,80738069,30
90504243,40,3001468,1,PC,0.0,INR,80738069,40
90504243,50,S8907367001850,1,PC,0.0,INR,80738069,50
90504243,60,S8907367001843,1,PC,0.0,INR,80738069,60
90504243,70,3001456,1,PC,0.0,INR,80738069,70
90504243,80,S8907367001867,1,PC,0.0,INR,80738069,80
90504243,90,S8907367002550,1,PC,0.0,INR,80738069,90
90504243,100,S8907367038108,1,PC,208.52,INR,80738069,100
90504243,110,S8907367038122,1,PC,210.13,INR,80738069,110
90504243,120,S8907367039280,1,PC,313.18,INR,80738069,120
90504245,10,S8907367039280,1,PC,329.66,INR,80738070,10
90504246,10,S8907367038122,1,PC,221.19,INR,80738071,10
90504249,10,S8907367010814,1,PC,320.42,INR,80738073,10
90504249,20,S8907367008620,1,PC,240.72,INR,80738073,20
90504250,10,S8907367041993,1,PC,422.88,INR,80738074,10
90504252,20,S8907367013532,1,PC,0.0,INR,80738075,20
90504252,30,S8907367014447,1,PC,0.0,INR,80738075,30
90504253,20,S8907367035978,1,PC,0.0,INR,80738076,20
90504253,30,S8907367035992,1,PC,0.0,INR,80738076,30
90504253,40,S8907367035985,1,PC,0.0,INR,80738076,40
90504253,50,S8907367035961,1,PC,0.0,INR,80738076,50
90504255,20,S8907367035961,1,PC,0.0,INR,80738077,20
90504255,30,S8907367035978,1,PC,0.0,INR,80738077,30
90504255,40,S8907367035985,1,PC,0.0,INR,80738077,40
90504255,50,S8907367035992,1,PC,0.0,INR,80738077,50
90504256,10,S8907367013532,1,PC,179.66,INR,80738078,10
90504257,10,S8907367016144,1,PC,375.42,INR,80738079,10
90504259,10,S8907367008620,1,PC,253.39,INR,80738080,10
90504260,10,S8907367037156,1,PC,422.03,INR,80738081,10
90504262,10,S8907367003380,1,PC,240.72,INR,80738082,10
90504262,20,S8907367020035,1,PC,603.01,INR,80738082,20
90504265,20,S8907367010814,1,PC,0.0,INR,80738084,20
90504265,30,S8907367036722,1,PC,0.0,INR,80738084,30
90504265,40,S8907367029021,1,PC,0.0,INR,80738084,40
90504265,50,S8907367016144,1,PC,0.0,INR,80738084,50
90504265,60,S8907367029038,1,PC,0.0,INR,80738084,60
90504266,10,S8907367035664,1,PC,422.03,INR,80738085,10
90504376,10,S8907367038122,1,PC,221.19,INR,80737922,10
90504406,10,S8907367013532,1,PC,179.66,INR,80737921,10
90504253,10,B8907367037859,1,PC,439.83,INR,80738076,10
90504255,10,B8907367037859,1,PC,439.83,INR,80738077,10
90504265,10,B8907367037842,1,PC,761.86,INR,80738084,10
90504252,10,B8907367015697,1,PC,429.66,INR,80738075,10
90504243,10,B8907367002246,1,PC,1301.82,INR,80738069,10
90504214,10,B8907367032571,1,PC,272.88,INR,80738047,10
90504263,10,S8907367008620,2,PC,481.44,INR,80738083,10
90504214,20,S8907367025412,2,PC,0.0,INR,80738047,20
90504235,10,S8907367026433,2,PC,310.76,INR,80738063,10
91150174,10,B8907367037842,1,PC,761.86,INR,80738084,10
91150188,10,B8907367002246,1,PC,1301.82,INR,80738069,10
91150188,20,S8907367001836,1,PC,0.0,INR,80738069,20
91150188,30,S8907367001874,1,PC,0.0,INR,80738069,30
91150188,40,3001468,1,PC,0.0,INR,80738069,40
91150188,50,S8907367001850,1,PC,0.0,INR,80738069,50
91150188,60,S8907367001843,1,PC,0.0,INR,80738069,60
91150188,70,3001456,1,PC,0.0,INR,80738069,70
91150188,80,S8907367001867,1,PC,0.0,INR,80738069,80
91150188,90,S8907367002550,1,PC,0.0,INR,80738069,90
91150188,100,S8907367038108,1,PC,208.52,INR,80738069,100
91150188,110,S8907367038122,1,PC,210.13,INR,80738069,110
91150188,120,S8907367039280,1,PC,313.18,INR,80738069,120
91150106,10,S8907367013532,1,PC,179.66,INR,80737921,10
91150114,10,S8907367038122,1,PC,221.19,INR,80737922,10
91150173,10,S8907367035664,1,PC,422.03,INR,80738085,10
91150174,20,S8907367010814,1,PC,0.0,INR,80738084,20
91150174,30,S8907367036722,1,PC,0.0,INR,80738084,30
91150174,40,S8907367029021,1,PC,0.0,INR,80738084,40
91150174,50,S8907367016144,1,PC,0.0,INR,80738084,50
91150174,60,S8907367029038,1,PC,0.0,INR,80738084,60
91150175,10,S8907367008620,2,PC,481.44,INR,80738083,10
91150176,10,S8907367003380,1,PC,240.72,INR,80738082,10
91150176,20,S8907367020035,1,PC,603.01,INR,80738082,20
91150177,10,S8907367037156,1,PC,422.03,INR,80738081,10
91150178,10,S8907367008620,1,PC,253.39,INR,80738080,10
91150179,10,S8907367016144,1,PC,375.42,INR,80738079,10
91150180,10,S8907367013532,1,PC,179.66,INR,80738078,10
91150181,10,B8907367037859,1,PC,439.83,INR,80738077,10
91150181,20,S8907367035961,1,PC,0.0,INR,80738077,20
91150181,30,S8907367035978,1,PC,0.0,INR,80738077,30
91150181,40,S8907367035985,1,PC,0.0,INR,80738077,40
91150181,50,S8907367035992,1,PC,0.0,INR,80738077,50
91150182,10,B8907367037859,1,PC,439.83,INR,80738076,10
91150182,20,S8907367035978,1,PC,0.0,INR,80738076,20
91150182,30,S8907367035992,1,PC,0.0,INR,80738076,30
91150182,40,S8907367035985,1,PC,0.0,INR,80738076,40
91150182,50,S8907367035961,1,PC,0.0,INR,80738076,50
91150183,10,B8907367015697,1,PC,429.66,INR,80738075,10
91150183,20,S8907367013532,1,PC,0.0,INR,80738075,20
91150183,30,S8907367014447,1,PC,0.0,INR,80738075,30
91150184,10,S8907367041993,1,PC,422.88,INR,80738074,10
91150185,10,S8907367010814,1,PC,320.42,INR,80738073,10
91150185,20,S8907367008620,1,PC,240.72,INR,80738073,20
91150186,10,S8907367038122,1,PC,221.19,INR,80738071,10
91150187,10,S8907367039280,1,PC,329.66,INR,80738070,10
91150189,10,S8907367025344,1,PC,151.69,INR,80738068,10
91150190,10,S8907367013532,1,PC,180.34,INR,80738067,10
91150191,10,S8907367008620,1,PC,253.39,INR,80738066,10
91150192,10,S8907367008620,1,PC,287.29,INR,80738065,10
91150193,10,S8907367028192,1,PC,168.64,INR,80738064,10
91150194,10,S8907367026433,2,PC,310.76,INR,80738063,10
91150195,10,S8907367004448,1,PC,215.25,INR,80738062,10
91150196,10,S8907367013532,1,PC,179.66,INR,80738061,10
91150197,10,S8907367001003,1,PC,216.1,INR,80738060,10
91150198,10,S8907367008620,1,PC,253.39,INR,80738059,10
91150199,10,S8907367038108,1,PC,208.52,INR,80738058,10
91150199,20,S8907367008620,1,PC,240.72,INR,80738058,20
91150200,10,S8907367025344,1,PC,185.59,INR,80738057,10
91150201,10,S8907367002512,1,PC,215.25,INR,80738056,10
91150202,10,S8907367008620,1,PC,253.39,INR,80738055,10
91150203,10,S8907367039280,1,PC,363.56,INR,80738054,10
91150204,10,S8907367039280,1,PC,329.66,INR,80738053,10
91150205,10,S8907367039280,1,PC,363.56,INR,80738052,10
91150206,10,S8907367008620,1,PC,253.39,INR,80738051,10
91150207,10,S8907367039280,1,PC,329.66,INR,80738050,10
91150208,10,S8907367039280,1,PC,363.56,INR,80738049,10
91150209,10,S8907367039280,1,PC,363.56,INR,80738048,10
91150210,10,B8907367032571,1,PC,272.88,INR,80738047,10
91150210,20,S8907367025412,2,PC,0.0,INR,80738047,20
91150211,10,S8907367039280,1,PC,363.56,INR,80738046,10
91150212,10,S8907367039280,1,PC,363.56,INR,80738045,10
91150213,10,S8907367039280,1,PC,363.56,INR,80738044,10
91150214,10,S8907367002512,1,PC,249.15,INR,80738043,10
91150215,10,S8907367001003,1,PC,250.0,INR,80738042,10
91150216,10,S8907367038122,1,PC,221.19,INR,80738041,10
91150217,10,S8907367013532,1,PC,229.66,INR,80738040,10
