actual_goods_movement_date,actual_goods_movement_time,creation_date,creation_time,delivery_block_reason,delivery_document,hdr_general_incompletion_status,header_billing_block_reason,last_change_date,overall_goods_movement_status,overall_picking_status,overall_proof_of_delivery_status,shipping_point
,,2025-04-02 00:00:00+00:00,,,80738058,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738059,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738060,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738061,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738062,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738063,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738064,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738065,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738066,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738067,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738068,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738069,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738070,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738071,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738073,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738074,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738075,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738076,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738077,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738078,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738079,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738080,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738081,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738082,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738083,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738084,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738085,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738086,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738087,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738088,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738089,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738090,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738091,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738092,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738093,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738094,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738095,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738096,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738097,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738098,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738099,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738100,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738101,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738102,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738103,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738104,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738105,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738106,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738107,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738108,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738109,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738110,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
,,2025-04-02 00:00:00+00:00,,,80738111,C,,2025-07-24 00:00:00+00:00,A,C,,WB05
2025-04-29 00:00:00+00:00,,2025-04-07 00:00:00+00:00,,,80754575,C,,2025-05-09 00:00:00+00:00,C,C,,1301
2025-04-29 00:00:00+00:00,,2025-04-07 00:00:00+00:00,,,80754576,C,,2025-05-09 00:00:00+00:00,C,C,,1301
,,2025-04-07 00:00:00+00:00,,,80754574,C,,2025-07-24 00:00:00+00:00,A,C,,1301
,,2025-04-07 00:00:00+00:00,,,80754601,C,,2025-07-24 00:00:00+00:00,A,C,,1301
,,2025-04-07 00:00:00+00:00,,,80754602,C,,2025-07-24 00:00:00+00:00,A,C,,1301
,,2025-04-07 00:00:00+00:00,,,80754603,C,,2025-07-24 00:00:00+00:00,A,C,,1301
,,2025-04-07 00:00:00+00:00,,,80754604,C,,2025-07-24 00:00:00+00:00,A,C,,1301
,,2025-04-07 00:00:00+00:00,,,80754605,C,,2025-07-24 00:00:00+00:00,A,C,,1301
,,2025-04-07 00:00:00+00:00,,,80754606,C,,2025-07-24 00:00:00+00:00,A,C,,1301
2025-04-02 00:00:00+00:00,,2025-04-02 00:00:00+00:00,,,80738072,C,,2025-04-02 00:00:00+00:00,C,C,,WB05
